start,h1_h5_1512b,h1_h5_512b,h1_h5_64b
0.0,3286.067,1724.944,213.16
1.0,3737.12,1685.515,223.831
2.0,3035.122,1740.377,221.889
3.0,3015.32,1752.017,212.514
4.0,3583.988,1731.809,210.471
5.0,3355.53,1813.457,217.333
6.0,2936.431,1808.382,210.407
7.0,2933.816,1777.186,206.033
8.0,3189.846,1816.769,218.348
9.0,3092.273,1722.367,219.468
10.0,3168.149,1653.519,189.103
11.0,3401.644,1644.87,189.659
12.0,3321.134,1665.835,190.868
13.0,3475.787,1728.991,151.812
14.0,3488.089,1719.076,212.753
15.0,3176.313,1725.992,212.018
16.0,3292.055,1714.97,213.598
17.0,3371.7,1719.445,212.074
18.0,3382.102,1757.56,212.45
19.0,3373.365,1734.571,214.019
20.0,3269.011,1687.091,207.841
21.0,3216.028,1720.914,165.322
22.0,3504.284,1724.2,36.739
23.0,3454.163,1719.405,228.675
24.0,3558.931,1715.949,229.14
25.0,3390.808,1635.155,233.747
26.0,3181.694,1653.068,222.93
27.0,2577.653,1675.563,217.065
28.0,3167.814,1711.624,212.807
29.0,2993.29,1711.118,214.706
30.0,3256.37,1667.905,217.402
31.0,3462.281,1664.0,219.684
32.0,3501.624,1393.429,225.698
33.0,3687.647,886.294,226.346
34.0,1288.063,492.145,219.485
35.0,2501.043,1675.085,218.313
36.0,3991.834,1727.344,215.866
37.0,3851.609,1699.198,218.075
38.0,3887.536,1647.389,211.232
39.0,3610.906,1648.411,211.659
40.0,3626.756,1630.47,216.9
41.0,3617.874,1652.949,218.934
42.0,3685.151,1659.228,219.372
43.0,3787.49,1669.016,219.505
44.0,3804.79,1650.364,223.901
45.0,3669.697,1646.382,222.914
46.0,3465.433,1648.187,217.857
47.0,3137.275,1630.329,210.333
48.0,3030.584,11.625,209.845
49.0,3091.431,1691.246,216.152
50.0,3248.931,1773.778,214.818
51.0,3358.066,1716.425,221.491
52.0,3133.744,1597.279,217.02
53.0,3537.346,1571.194,214.15
54.0,3690.875,1590.595,214.391
55.0,3723.423,1670.041,214.705
56.0,3741.709,1697.344,208.581
57.0,3733.716,1509.964,198.776
58.0,3614.816,1327.508,27.343
59.0,3698.513,1481.039,178.582
